date,mean_total_daily_precip_ukl,mean_total_daily_precip_williamson,mean_total_daily_precip_sprague
2020-10-01,0,0,0
2020-10-02,0,0,0
2020-10-03,0,0,0
2020-10-04,0.007,0,0.006
2020-10-05,0,0,0
2020-10-06,0,0,0
2020-10-07,0.003,0,0
2020-10-08,0,0,0.006
2020-10-09,0.05,0.045,0.006
2020-10-10,0.461,0.269,0.265
2020-10-11,0.078,0.012,0.003
2020-10-12,0.038,0,0
2020-10-13,0.105,0.015,0
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0.038,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,0.008,0,0
2020-10-22,0,0,0
2020-10-23,0,0,0
2020-10-24,0.003,0,0
2020-10-25,0,0,0
2020-10-26,0,0,0
2020-10-27,0,0,0
2020-10-28,0.038,0,0
2020-10-29,0.009,0,0
2020-10-30,0,0,0
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,0,0,0.006
2020-11-04,0,0.03,0.009
2020-11-05,0.091,0.055,0.04
2020-11-06,0.146,0.062,0.218
2020-11-07,0.162,0.021,0.022
2020-11-08,0.055,0.009,0.016
2020-11-09,0.01,0.041,0.028
2020-11-10,0.073,0.046,0.011
2020-11-11,0.047,0,0
2020-11-12,0.101,0.172,0.102
2020-11-13,1.127,0.957,0.626
2020-11-14,0.76,0.789,0.296
2020-11-15,1.872,1.253,0.86
2020-11-16,0.022,0.006,0.004
2020-11-17,0.282,0.322,0.305
2020-11-18,0.435,0.319,0.146
2020-11-19,0.08,0.03,0.048
2020-11-20,0,0,0
2020-11-21,0.013,0.001,0.012
2020-11-22,0.089,0.073,0.036
2020-11-23,0.013,0.002,0
2020-11-24,0.151,0.065,0.051
2020-11-25,0.188,0.029,0.04
2020-11-26,0.002,0,0
2020-11-27,0.002,0,0
2020-11-28,0.02,0,0
2020-11-29,0,0,0.006
2020-11-30,0.005,0.002,0
2020-12-01,0,0,0
2020-12-02,0.015,0,0
2020-12-03,0.019,0,0
2020-12-04,0,0,0.001
2020-12-05,0.113,0.096,0.042
2020-12-06,0.019,0.001,0.001
2020-12-07,0.014,0,0
2020-12-08,0.014,0.009,0
2020-12-09,0.012,0,0
2020-12-10,0.057,0.008,0
2020-12-11,0.167,0.055,0.115
2020-12-12,0.021,0.033,0
2020-12-13,0.594,0.342,0.268
2020-12-14,0.076,0.011,0.016
2020-12-15,0.162,0.086,0.056
2020-12-16,0.559,0.546,0.347
2020-12-17,0.196,0.038,0.025
2020-12-18,0.06,0.051,0.017
2020-12-19,0.108,0.072,0.013
2020-12-20,0.166,0.182,0.019
2020-12-21,0.123,0.034,0.013
2020-12-22,0.022,0,0
2020-12-23,0.008,0,0.006
2020-12-24,0.013,0,0.004
2020-12-25,0.317,0.301,0.144
2020-12-26,0.258,0.076,0.068
2020-12-27,0,0,0
2020-12-28,0,0,0
2020-12-29,0.04,0.045,0.055
2020-12-30,0.447,0.35,0.217
2020-12-31,0.116,0.04,0
2021-01-01,0.275,0.196,0.118
2021-01-02,0.1,0.104,0.031
2021-01-03,0.188,0.231,0.085
2021-01-04,0.343,0.272,0.199
2021-01-05,0.041,0.002,0.007
2021-01-06,0.324,0.311,0.176
2021-01-07,0.15,0.092,0.059
2021-01-08,0.298,0.213,0.204
2021-01-09,0.039,0.034,0.035
2021-01-10,0.054,0.059,0.021
2021-01-11,0.025,0.025,0.038
2021-01-12,0.608,0.574,0.16
2021-01-13,0.309,0.126,0.106
2021-01-14,0,0,0
2021-01-15,0.016,0,0.004
2021-01-16,0,0,0
2021-01-17,0,0,0
2021-01-18,0.002,0,0
2021-01-19,0,0,0
2021-01-20,0,0,0
2021-01-21,0,0,0
2021-01-22,0,0,0
2021-01-23,0.002,0,0.002
2021-01-24,0.146,0.055,0.078
2021-01-25,0.016,0,0.004
